Subj1	Subj2	grp	corrCuriosity	grpCorrCuriosity	corrConfidence	grpCorrConfidence	corrAllConf	grpCorrAllConf	corrHighConf	grpCorrHighConf	corrAboveAvgConf	grpCorrAboveAvgConf	corrContConf	grpCorrContConf	cuBetaAllConf	grpCuBetaAllConf	cuBetaHighConf	grpCuBetaHighConf	cuBetaAboveAvgConf	grpCuBetaAboveAvgConf	cuBetaContConf	grpCuBetaContConf	uniqueCurAboveAvgConf	grpUniqueCurAboveAvgConf	uniqueMemAboveAvgConf	grpUniqueMemAboveAvgConf	uniqueConfidence	grpUniqueConfidence	InputFile	\
sub-control001	sub-control002	-1	0.22903711201635	-0.22903711201635	0.0346857027792652	-0.0346857027792652	0.183887146725625	-0.183887146725625	0	0	-0.0065905103022089	0.0065905103022089	0.0713972736802221	-0.0713972736802221	0.148739903270669	-0.148739903270669	0.0152895783755375	-0.0152895783755375	0.0501418235447368	-0.0501418235447368	0.153351494631068	-0.153351494631068	0.159239663295797	-0.159239663295797	-0.2283045213976	0.2283045213976	-0.196515089946016	0.196515089946016	ISC_sub-control001sub-control002_magictrickwatching_z.nii.gz	\
sub-control001	sub-control003	-1	-0.0717480299457246	0.0717480299457246	0.246682614513951	-0.246682614513951	0.213945794649824	-0.213945794649824	0.0254823595718813	-0.0254823595718813	0.099752741106878	-0.099752741106878	0.177133640985392	-0.177133640985392	0.10651069184597	-0.10651069184597	0.0206266288807613	-0.0206266288807613	0.0627333097875732	-0.0627333097875732	0.102724969034701	-0.102724969034701	-0.151390562467974	0.151390562467974	-0.0922221563098978	0.0922221563098978	0.0140133028274001	-0.0140133028274001	ISC_sub-control001sub-control003_magictrickwatching_z.nii.gz	\
sub-control001	sub-control007	-1	0.192373593335493	-0.192373593335493	0.12584028419429	-0.12584028419429	0.0321246283101618	-0.0321246283101618	0.161164592805076	-0.161164592805076	0.204465205027383	-0.204465205027383	0.107262206566392	-0.107262206566392	0.144276915116426	-0.144276915116426	-0.00555909963876677	0.00555909963876677	0.00162830056407555	-0.00162830056407555	0.0684159424960139	-0.0684159424960139	0.10303695264258	-0.10303695264258	-0.0136238246517181	0.0136238246517181	-0.0979461319274179	0.0979461319274179	ISC_sub-control001sub-control007_magictrickwatching_z.nii.gz	\
sub-control001	sub-control009	-1	0.156456685602208	-0.156456685602208	0.301511344577764	-0.301511344577764	-0.102792333648896	0.102792333648896	0.0697502970338576	-0.0697502970338576	0.258630300055936	-0.258630300055936	0.372193684159388	-0.372193684159388	0.178674610895777	-0.178674610895777	0.0172951705161569	-0.0172951705161569	0.0348774713030875	-0.0348774713030875	0.103406585490429	-0.103406585490429	0.0621055292478196	-0.0621055292478196	0.0440924331606638	-0.0440924331606638	0.0843163133158871	-0.0843163133158871	ISC_sub-control001sub-control009_magictrickwatching_z.nii.gz	\
sub-control001	sub-control011	-1	0.0448684367205663	-0.0448684367205663	-0.0257424602318149	0.0257424602318149	0.166924465222397	-0.166924465222397	0.230667860577312	-0.230667860577312	0.129032699417639	-0.129032699417639	0.20834493364267	-0.20834493364267	0.0405406150569384	-0.0405406150569384	-0.00309017483678067	0.00309017483678067	-0.0252277453867268	0.0252277453867268	0.00476472931505136	-0.00476472931505136	-0.0374847863199815	0.0374847863199815	-0.0744722567525851	0.0744722567525851	-0.256114539054709	0.256114539054709	ISC_sub-control001sub-control011_magictrickwatching_z.nii.gz	\
sub-control001	sub-control013	-1	0.0619095658733635	-0.0619095658733635	0.0954404280921294	-0.0954404280921294	0.0234871559776603	-0.0234871559776603	0.0192628532132355	-0.0192628532132355	-0.0488765325324301	0.0488765325324301	0.264020184525901	-0.264020184525901	0.124599358529116	-0.124599358529116	0.00493285747637981	-0.00493285747637981	0.0408174360016817	-0.0408174360016817	0.111621408945703	-0.111621408945703	-0.00397311226249077	0.00397311226249077	-0.254066372715811	0.254066372715811	-0.127924003250697	0.127924003250697	ISC_sub-control001sub-control013_magictrickwatching_z.nii.gz	\
sub-control001	sub-control015	-1	-0.0974228874970582	0.0974228874970582	0.16350294627734	-0.16350294627734	0.0622090752241799	-0.0622090752241799	0.040291148201269	-0.040291148201269	0.0817860820109531	-0.0817860820109531	0.147348515974455	-0.147348515974455	0.0594350457243845	-0.0594350457243845	-0.0051920614780002	0.0051920614780002	0.00532315825718907	-0.00532315825718907	0.0488523174865477	-0.0488523174865477	-0.175402096187355	0.175402096187355	-0.107650300695885	0.107650300695885	-0.0617532492184812	0.0617532492184812	ISC_sub-control001sub-control015_magictrickwatching_z.nii.gz	\
sub-control001	sub-control017	-1	-0.0670774429658229	0.0670774429658229	0.229515907006256	-0.229515907006256	0.196722368841158	-0.196722368841158	0.412160846109159	-0.412160846109159	0.185730823623234	-0.185730823623234	0.354177132860722	-0.354177132860722	0.111145580094594	-0.111145580094594	0.0163533771780098	-0.0163533771780098	0.0282145333391267	-0.0282145333391267	0.0879885044504597	-0.0879885044504597	-0.154679685354632	0.154679685354632	-0.00670586228560296	0.00670586228560296	-0.00231195208262919	0.00231195208262919	ISC_sub-control001sub-control017_magictrickwatching_z.nii.gz	\
sub-control001	sub-control019	-1	0.025213645282965	-0.025213645282965	-0.0630729229180171	0.0630729229180171	-0.024883630089672	0.024883630089672	-0.213034521150655	0.213034521150655	0.131931044689742	-0.131931044689742	0.00203831347966224	-0.00203831347966224	0.155862268302007	-0.155862268302007	0.0353862996228251	-0.0353862996228251	0.0680069282601564	-0.0680069282601564	0.0933103798350509	-0.0933103798350509	-0.0574079018092929	0.0574079018092929	-0.069630610448126	0.069630610448126	-0.284074193526175	0.284074193526175	ISC_sub-control001sub-control019_magictrickwatching_z.nii.gz	\
sub-control001	sub-control021	-1	-0.226690423658235	0.226690423658235	0.0520285541688978	-0.0520285541688978	-0.0196722368841158	0.0196722368841158	0.080582296402538	-0.080582296402538	0.0905206050195775	-0.0905206050195775	0.0535181152068481	-0.0535181152068481	0.187811317271604	-0.187811317271604	0.0329123881004833	-0.0329123881004833	0.0889417073608987	-0.0889417073608987	0.149177004366982	-0.149177004366982	-0.305478260163164	0.305478260163164	-0.0861348872224782	0.0861348872224782	-0.169227319698739	0.169227319698739	ISC_sub-control001sub-control021_magictrickwatching_z.nii.gz	\
sub-control001	sub-control023	-1	-0.0237716527440223	0.0237716527440223	-0.00812033637511928	0.00812033637511928	0.0697502970338576	-0.0697502970338576	-0.051948051948052	0.051948051948052	-0.0065905103022089	0.0065905103022089	0.0044051066890828	-0.0044051066890828	0.0678975961988405	-0.0678975961988405	0.000556350615801879	-0.000556350615801879	0.0151858172426775	-0.0151858172426775	0.0190512272571141	-0.0190512272571141	-0.0935691014645711	0.0935691014645711	-0.203308909762278	0.203308909762278	-0.233744959194972	0.233744959194972	ISC_sub-control001sub-control023_magictrickwatching_z.nii.gz	\
sub-control001	sub-control025	-1	0.184882725560985	-0.184882725560985	-0.0735452771768856	0.0735452771768856	0.237933012698161	-0.237933012698161	-0.227921152919276	0.227921152919276	-0.173494479589872	0.173494479589872	-0.239268725685615	0.239268725685615	0.141904750212527	-0.141904750212527	0.0135513100468139	-0.0135513100468139	0.0597985591625918	-0.0597985591625918	0.0886339732078535	-0.0886339732078535	0.130536972577595	-0.130536972577595	-0.390842875051324	0.390842875051324	-0.307386487367357	0.307386487367357	ISC_sub-control001sub-control025_magictrickwatching_z.nii.gz	\
